;NAMA PROVINSI;JUMLAH PESERTA;RERATA NILAI;jumlah nilai
6;DKI JAKARTA;64247.0;64.4106671128613;4138192.13
5;DI YOGYAKARTA;23895.0;63.227920903954804;1510831.17
10;JAWA TENGAH;190596.0;56.768298285378506;10819810.580000002
1;BALI;29638.0;54.06554558337271;1602394.64
17;KEPULAUAN RIAU;14808.0;53.34621893571043;789950.81
11;JAWA TIMUR;276594.0;52.536594503134566;14531306.82
15;KALIMANTAN TIMUR;27040.0;51.89114201183432;1403136.48
2;BANGKA BELITUNG;9995.0;51.84285342671336;518169.32
31;SUMATERA BARAT;57473.0;51.37096741078419;2952443.61
9;JAWA BARAT;293492.0;50.879374361141025;14932689.34
13;KALIMANTAN SELATAN;32567.0;50.82033960757823;1655066.0
3;BANTEN;80870.0;49.35396327439099;3991255.01
25;RIAU;60074.0;47.91735126677097;2878586.96
4;BENGKULU;18852.0;47.89001060895397;902822.48
16;KALIMANTAN UTARA;5727.0;47.695269774751175;273150.81
18;LAMPUNG;64335.0;47.36854293930209;3047455.21
12;KALIMANTAN BARAT;45547.0;47.303522295650644;2154533.5300000003
33;SUMATERA UTARA;145911.0;46.12940792674987;6730788.04
14;KALIMANTAN TENGAH;22076.0;46.09967657184272;1017696.46
8;JAMBI;33053.0;45.75611956554624;1512377.02
32;SUMATERA SELATAN;76536.0;45.23941883558064;3462444.16
24;PAPUA BARAT;9025.0;45.02399889196676;406341.59
29;SULAWESI TENGGARA;31690.0;44.83895960870937;1420946.63
30;SULAWESI UTARA;20170.0;44.600449181953394;899591.0599999998
27;SULAWESI SELATAN;92442.0;44.31610869518185;4096669.72
7;GORONTALO;10381.0;44.184502456410755;458679.32
21;NUSA TENGGARA BARAT;51077.0;44.02742486833605;2248788.7800000003
28;SULAWESI TENGAH;27768.0;43.451293575338525;1206555.52
22;NUSA TENGGARA TIMUR;63121.0;42.4061397949969;2676717.95
23;PAPUA;19791.0;42.04292102470821;832071.4500000002
26;SULAWESI BARAT;11665.0;42.02256493784826;490193.22
0;ACEH;57307.0;41.85648734011552;2398669.72
19;MALUKU;24237.0;41.47894706440566;1005325.24
20;MALUKU UTARA;12180.0;41.13657307060755;501043.46
